Nombre;Seccional;Facultad;Cargo;Salario;Fch nacimiento;Sexo
Sara,Ruiz;Medellin;Diseno;Docente;2,300,000;07/06/1960;F
Gustavo,Vallejo;Medellin;Ingenieria;Docente;4,000,000;18/06/1960;M
Raquel,Mendez;Medellin;Medicina;Docente;2,940,000;22/06/1960;F
Tammy,Medina;Medellin;Administracion;Docente;1,280,000;08/05/1959;F
Sandra,Mendez;Bogota;Publicidad;Administrativo;4,200,000;19/05/1959;F
Evelyn,Cano;Bogota;Publicidad;Docente investigador;3,600,000;23/05/1959;F
Pablo,Diaz ;Bucaramanga;Administracion;Docente;5,600,000;09/03/1968;M
David,Rojas ;Bogota;Publicidad;Docente investigador;3,400,000;19/03/1958;M
Gloria,Jaramillo;Monteria;Ingenieria;Docente;3,200,000;23/03/1958;F
Pamela,Tamayo;Bucaramanga;Ingenieria;Aux. Administrativo;1,350,000;24/10/1962;F
Jessica,Serna;Medellin;Ingenieria;Docente;4,800,000;04/11/1962;F
Guillermo,Marquez;Palmira;Administracion;Docente;4,500,000;26/06/1963;M
Karen,Fernandez;Palmira;Diseno;Aux. Administrativo;1,500,000;07/07/1963;F
Leonardo,Restrepo;Bucaramanga;Ingenieria;Docente;2,600,000;11/07/1963;M
Mariana,Vasquez;Bogota;Publicidad;Docente;3,200,000;04/01/1967;F
Daniel,Gomez;Medellin;Administracion;Docente;1,460,000;15/01/1967;M
Angela,Ospina;Monteria;Ingenieria;Tecnico;2,800,000;19/01/1967;F
Andres,Alzate;Medellin;Ingenieria;Docente;3,200,000;11/09/1965;M
Simon,Pelaez;Medellin;Medicina;Aux. Administrativo;1,390,000;22/09/1965;M
Sofia,Gracia;Medellin;Diseno;Docente;2,300,000;26/09/1965;F
Lina,Marulanda;Medellin;Medicina;Docente;3,600,000;20/05/1960;F
Marcela,Villamizar;Palmira;Administracion;Aux. Administrativo;1,500,000;31/05/1960;F
Samuel,De santis;Medellin;Ingenieria;Docente;3,200,000;04/06/1960;M
Tatiana,Rico;Medellin;Diseno;Administrativo;2,500,000;29/09/1963;F
Jose,Arango;Palmira;Administracion;Docente;3,200,000;10/10/1963;M
Daniela,Carmona;Palmira;Administracion;Docente;3,200,000;14/10/1963;F
Stepania,Franco;Bucaramanga;Ingenieria;Docente;1,350,000;01/09/1962;F
Estefania,Zapata;Palmira;Administracion;Docente;3,200,000;17/01/1964;F
David,Villegas;Palmira;Diseno;Docente;3,200,000;12/09/1962;M
Luis,Lemus;Medellin;Administracion;Docente;1,350,000;28/01/1964;M
Jorge,Melano;Monteria;Comunicacion;Docente;6,500,000;01/09/1969;M
Sebastian,Zea ;Medellin;Administracion;Docente;1,500,000;12/09/1969;M
Juan,Carmona;Bogota;Publicidad;Docente investigador;3,700,000;16/09/1969;M
Camilo,Hernandez ;Palmira;Diseno;Docente;3,200,000;05/01/1960;M
Cathy,Berrio;Bogota;Derecho;Docente;3,200,000;16/01/1940;F
Esteban,Higuita;Monteria;Ingenieria;Aux. Administrativo;1,350,000;10/05/1965;M
Alexandra,Giraldo;Medellin;Diseno;Docente;2,300,000;22/05/1954;F
Cristina,Guerrero;Medellin;Diseno;Administrativo;2,960,000;21/05/1965;F
Isabella,Cock;Bucaramanga;Administracion;Administrativo;5,600,000;26/05/1955;F
Sergio,Marquez;Monteria;Comunicacion;Docente;5,600,000;02/06/1954;M
Melisa,Posada;Medellin;Medicina;Tecnico;1,900,000;23/10/1962;F
Mauricio,Uribe;Bogota;Derecho;Docente;4,700,000;03/11/1962;M
Monica,Arango;Medellin;Diseno;Tecnico;2,000,000;03/10/1968;F
Gonzalo,Arango ;Bucaramanga;Administracion;Docente;1,350,000;14/10/1968;M
Ana Maria,Betancur;Medellin;Diseno;Docente;2,300,000;18/10/1968;F
Andrea,Rodriguez ;Monteria;Ingenieria;Docente;3,200,000;17/08/1969;F
Diana,Carmona ;Medellin;Ingenieria;Administrativo;5,600,000;28/08/1959;F
Alejandro,Caro;Monteria;Ingenieria;Aux. Administrativo;1,600,000;01/09/1969;F
Roberta,Simanca;Medellin;Diseno;Aux. Administrativo;1,350,000;02/09/1960;F
Melina,Toledo;Medellin;Diseno;Administrativo;2,600,000;13/09/1960;F
Patricia,Acevedo;Medellin;Administracion;Administrativo;5,600,000;21/09/1958;F
Barbara,Diez;Bucaramanga;Ingenieria;Docente;2,100,000;24/02/1961;F
Lisa,Henao;Medellin;Diseno;Docente;2,300,000;07/03/1961;F
Felipe,Guerra;Medellin;Administracion;Administrativo;2,560,000;28/05/1969;M
Elena,Arango;Medellin;Administracion;Administrativo;2,400,000;08/06/1949;F
Miguel,Garces;Medellin;Ingenieria;Docente;3,200,000;12/06/1949;M
Paula,Sanchez;Medellin;Diseno;Docente;4,100,000;26/02/1951;F
Luisa,Palacio;Medellin;Diseno;Docente;4,900,000;09/03/1951;F
Felipe,Granda;Medellin;Administracion;Aux. Administrativo;1,350,000;22/03/1965;M
Santiago,Girando;Medellin;Administracion;Docente;1,350,000;02/04/1965;M
Hilda,Jaramillo;Bucaramanga;Administracion;Docente;2,900,000;06/04/1945;F
Camila,Rodriguez;Bogota;Derecho;Docente investigador;3,900,000;04/05/1969;F
Victoria,Dominguez ;Bucaramanga;Administracion;Docente;4,600,000;17/09/1951;F
Santiago,Hincapie;Bucaramanga;Administracion;Aux. Administrativo;1,350,000;15/05/1969;M
Mariana,Betancurt;Monteria;Comunicacion;Docente;3,200,000;19/05/1969;F
Jeronimo,Diaz ;Palmira;Administracion;Administrativo;3,200,000;28/09/1951;M
Karla,Burgos;Bucaramanga;Administracion;Aux. Tecnico;980,000;02/10/1951;F
Carlos,Molina;Bogota;Derecho;Docente;3,200,000;28/09/1970;M
Ana,Posada;Medellin;Ingenieria;Aux. Administrativo;1,350,000;09/10/1970;F
Virginia,Jaramillo;Monteria;Comunicacion;Docente;4,200,000;13/10/1960;F
Federico,Saldarriaga;Medellin;Diseno;Tecnico;1,300,000;15/09/1967;M
Lucero,Arroyave;Monteria;Ingenieria;Docente;3,200,000;26/09/1967;F
